KEY,DEFAULT_VALUE,SPIROU_VALUE,HARPS_VALUE,ESPRESSO_VALUE,CARMENES_VALUE,DESCRIPTION
CONFIG_FILE,None,None,None,None,None,Config file for user settings (absolute path)
DATA_DIR,None,None,None,None,None,Main data directory (absolute path)
MASK_SUBDIR,masks,masks,masks,masks,masks,mask sub directory (relative to data directory)
TEMPLATE_SUBDIR,templates,templates,templates,templates,templates,template sub directory (relative to data directory)
CALIB_SUBDIR,calib,calib,calib,calib,calib,calib sub directory (relative to data directory)
SCIENCE_SUBDIR,science,science,science,science,science,science sub directory (relative to data directory)
LBLRV_SUBDIR,lblrv,lblrv,lblrv,lblrv,lblrv,LBL RV sub directory (relative to data directory)
LBLREFTAB_SUBDIR,lblreftable,lblreftable,lblreftable,lblreftable,lblreftable,LBL ref table sub directory (relative to data directory)
LBLRDB_SUBDIR,lblrdb,lblrdb,lblrdb,lblrdb,lblrdb,LBL RDB sub directory (relative to data directory)
INSTRUMENT,None,SPIROU,HARPS,ESPRESSO,CARMENES,The instrument to use
SKIP_DONE,False,False,False,False,False,Whether to skip done files
OVERWRITE,False,False,False,False,False,Whether to overwrite files that already exist
VERBOSE,2,2,2,2,2,"Verbosity 0=only warnings/errors, 1=info/warnings/errors,2=general/info/warning/errors  (default is 2)"
USE_TQDM,True,True,True,True,True,Whether to use tqdm module in loops (only for verbose=2)
PROGRAM,None,None,None,None,None,Whether to add program id to the logging message
OBJECT_SCIENCE,None,None,None,None,None,The object name for the compute function
OBJECT_TEMPLATE,None,None,None,None,None,The object name to use for the template (If None set to OBJECT_SCIENCE)
DATA_TYPE,None,None,None,None,None,"Set the data type (science, FP or LFC)"
SCIENCE_MASK_TYPE,pos,pos,pos,pos,pos,"the mask type (pos, neg, full)"
FP_MASK_TYPE,neg,neg,neg,neg,neg,"the mask type (pos, neg, full)"
LFC_MASK_TYPE,neg,neg,neg,neg,neg,"the mask type (pos, neg, full)"
BLAZE_FILE,None,None,None,None,None,Blaze file to use (must be present in the CALIB directory)
TEMPLATE_FILE,None,None,None,None,None,Template file to use (if not defined will try to find template for OBJECT_TEMPLATE) must be present in theTEMPLATES directory
INPUT_FILE,None,*.fits,*e2ds*A.fits,ES_*.fits,*e2ds*A.fits,The input file expression to use (i.e. *e2dsff*AB.fits)
MASK_FILE,None,None,None,None,None,Override the mask to be used (within mask dir or full path)
REF_TABLE_FMT,csv,csv,csv,csv,csv,Ref table format (i.e. csv)
HP_WIDTH,None,500,500,500,500,The High pass width [km/s]
SNR_THRESHOLD,None,10,10,10,10,The SNR cut off threshold
USE_NOISE_MODEL,False,False,False,False,False,Switch whether to use noise model or not for the RMS calculation
ROUGH_CCF_MIN_RV,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,The rough CCF rv minimum limit in m/s
ROUGH_CCF_MAX_RV,300000.0,300000.0,300000.0,300000.0,300000.0,The rough CCF rv maximum limit in m/s
ROUGH_CCF_EWIDTH_GUESS,2000,2000,2000,2000,2000,The rough CCF ewidth guess for fit in m/s
COMPUTE_RV_N_ITERATIONS,10,10,10,10,10,The number of iterations to do to converge during compute RV
COMPUTE_MODEL_PLOT_ORDERS,None,[35],[60],[60],[60],The plot order for the compute rv model plotthis can be an integer of a list of integers
COMPUTE_LINE_MIN_PIX_WIDTH,5,5,5,5,5,The minimum line width (in pixels) to consider line valid
COMPUTE_LINE_NSIG_THRES,8,8,8,8,8,The threshold in sigma on nsig (dv / dvrms) to keep valid
COMPUTE_RV_BULK_ERROR_CONVERGENCE,0.1,0.1,0.1,0.1,0.1,fraction of the bulk error the rv mean must be above for compute rv to have converged
COMPUTE_RV_MAX_N_GOOD_ITERS,8,8,8,8,8,The maximum number of iterations deemed to lead to a good RV
COMPUTE_RMS_SIGCLIP_THRES,5,5,5,5,5,define the number of sigma to clip based on the rms away from the model (sigma clips science data)
COMPUTE_CCF_HP_SCALE,30,30,30,30,30,scale of the high-passing of the CCF in rough-ccf should be a few stellar FWHM. Expressed in km/s
RDB_SUFFIX,,,,,,The suffix to give the rdb files
COMPIL_WAVE_MIN,None,900,400,450,500,The compil minimum wavelength allowed for lines [nm]
COMPIL_WAVE_MAX,None,2500,700,750,1000,The compil maximum wavelength allowed for lines [nm]
COMPIL_MAX_PIXEL_WIDTH,None,50,50,50,50,The maximum pixel width allowed for lines [pixels]
COMPIL_CUT_PEARSONR,0.0001,0.0001,0.0001,0.0001,0.0001,Max likelihood of correlation with BERV to use line
COMPIL_FP_EWID,None,5.0,5.0,3.0,5.0,define the CCF e-width to use for FP files
COMPIL_ADD_UNIFORM_WAVEBIN,False,True,True,True,True,"define whether to add the magic ""binned wavelength"" bands rv"
COMPIL_NUM_UNIFORM_WAVEBIN,15,25,15,15,15,"define the number of bins used in the magic ""binned wavelength"" bands"
COMPILE_BINNED_BAND1,None,H,r,g,g,The first band (from get_binned_parameters) to plot (band1)
COMPILE_BINNED_BAND2,None,J,g,r,r,The second band (from get_binned_parameters) to plot (band2) this is used for colour (band2 - band3)
COMPILE_BINNED_BAND3,None,H,r,i,i,The third band (from get_binned_parameters) to plot (band3) this is used for colour (band2 - band3)
COMPIL_SLOPE_REF_WAVE,None,1600,550,650,750,define the reference wavelength used in the slope fitting in nm
COMPIL_FRAC_TIME_MEAS,0.1,0.1,0.1,0.1,0.1,a threshold based on the fraction on time a line as been measured
COMPIL_FORCE_SIGMA_PER_LINE,False,False,False,False,False,"Force the per-line dispersion to match uncertainties. In otherwords, the per-line (vrad-median(vrad))/svrad will be forced to a median value of 1 if True. This causes a degradation of performances by 5-10% for SPIRou but makes the svrad more representative of the expected dispersion in the timeseries."
FP_REF_LIST,None,['FP_FP'],"['STAR,WAVE,FP']","['STAR,WAVE,FP']","['STAR,WAVE,FP']",define the FP reference string that defines that an FP observation was a reference (calibration) file - should be a list of strings
FP_STD_LIST,None,"['OBJ_FP', 'POLAR_FP']","['STAR,WAVE,FP']","['STAR,WAVE,FP']","['STAR,WAVE,FP']",# define the FP standard string that defines that an FP observation was NOT a reference file - should be a list of strings
READ_OUT_NOISE,None,30,15,15,15,define readout noise per instrument (assumes ~5e- and 10 pixels)
PLOT,False,False,False,False,False,Whether to do plots for the compute function
PLOT_COMPUTE_CCF,True,True,True,True,True,Whether to do the compute ccf plot
PLOT_COMPUTE_LINES,True,True,True,True,True,Whether to do the compute line plot
PLOT_COMPIL_CUMUL,True,True,True,True,True,Whether to do the compil cumulative plot
PLOT_COMPIL_BINNED,True,True,True,True,True,Whether to do the compil binned plot
PLOT_MASK_CCF,True,True,True,True,True,whether to do the mask ccf plot
PLOT_CCF_VECTOR_PLOT,True,True,True,True,True,whether to do the ccf vector plot
PLOT_TELLU_CORR_PLOT,True,True,True,True,True,whether to do the tellu correction plot
